community,population,commercial_permits,total_permits,commercial_value,commercial_permits_per_1k,commercial_ratio,opportunity_score
PANORAMA HILLS,25710,0,962,0,0.0,0.0,25.71
BELTLINE,25129,0,643,0,0.0,0.0,25.13
SADDLE RIDGE,22321,0,1155,0,0.0,0.0,22.32
EVERGREEN,21500,0,859,0,0.0,0.0,21.5
TUSCANY,19884,0,853,0,0.0,0.0,19.88
CRANSTON,19884,0,986,0,0.0,0.0,19.88
TARADALE,19026,0,565,0,0.0,0.0,19.03
MCKENZIE TOWNE,18283,0,769,0,0.0,0.0,18.28
EVANSTON,17685,0,860,0,0.0,0.0,17.68
COVENTRY HILLS,17667,0,689,0,0.0,0.0,17.67
AUBURN BAY,17607,0,704,0,0.0,0.0,17.61
EDGEMONT,15395,0,213,0,0.0,0.0,15.39
MARTINDALE,14245,0,384,0,0.0,0.0,14.24
COPPERFIELD,13823,0,659,0,0.0,0.0,13.82
HUNTINGTON HILLS,13420,0,197,0,0.0,0.0,13.42
MCKENZIE LAKE,13406,0,212,0,0.0,0.0,13.41
SIGNAL HILL,13395,0,264,0,0.0,0.0,13.39
NEW BRIGHTON,13103,0,547,0,0.0,0.0,13.1
DOUGLASDALE/GLEN,12881,0,231,0,0.0,0.0,12.88
VARSITY,12874,0,267,0,0.0,0.0,12.87
CHAPARRAL,12654,0,441,0,0.0,0.0,12.65
BRIDLEWOOD,12641,0,398,0,0.0,0.0,12.64
WHITEHORN,12019,0,110,0,0.0,0.0,12.02
MAHOGANY,11784,0,1051,0,0.0,0.0,11.78
SKYVIEW RANCH,11707,0,378,0,0.0,0.0,11.71
ROYAL OAK,11706,0,438,0,0.0,0.0,11.71
RUNDLE,11688,0,94,0,0.0,0.0,11.69
HIDDEN VALLEY,11566,0,231,0,0.0,0.0,11.57
BEDDINGTON HEIGHTS,11514,0,160,0,0.0,0.0,11.51
BOWNESS,11150,0,395,0,0.0,0.0,11.15
TEMPLE,10977,0,115,0,0.0,0.0,10.98
WEST SPRINGS,10758,0,549,0,0.0,0.0,10.76
FALCONRIDGE,10653,0,122,0,0.0,0.0,10.65
ARBOUR LAKE,10619,0,304,0,0.0,0.0,10.62
ACADIA,10520,0,217,0,0.0,0.0,10.52
MONTEREY PARK,10372,0,126,0,0.0,0.0,10.37
DOVER,10351,0,125,0,0.0,0.0,10.35
LAKE BONAVISTA,10293,0,232,0,0.0,0.0,10.29
CITADEL,10077,0,282,0,0.0,0.0,10.08
PINERIDGE,10022,0,86,0,0.0,0.0,10.02
SPRINGBANK HILL,9943,0,465,0,0.0,0.0,9.94
SUNDANCE,9736,0,135,0,0.0,0.0,9.74
ASPEN WOODS,9446,0,372,0,0.0,0.0,9.45
SHAWNESSY,9368,0,164,0,0.0,0.0,9.37
HAWKWOOD,9248,0,99,0,0.0,0.0,9.25
RIVERBEND,9244,0,149,0,0.0,0.0,9.24
MARLBOROUGH,9162,0,143,0,0.0,0.0,9.16
DALHOUSIE,8940,0,150,0,0.0,0.0,8.94
WOODBINE,8866,0,101,0,0.0,0.0,8.87
