community,recent_6mo_permits,previous_6mo_permits,velocity_change,percent_change,status
HUXLEY,21,0,21,2100.0,BOOM
AMBLETON,32,15,17,106.2,BOOM
ROSSCARROCK,28,11,17,141.7,BOOM
BRIDLEWOOD,16,6,10,142.9,BOOM
MIDNAPORE,18,8,10,111.1,BOOM
RESIDUAL WARD 2 - SUB AREA 2C,10,0,10,1000.0,BOOM
KINGSLAND,17,8,9,100.0,BOOM
DOVER,16,8,8,88.9,BOOM
RUNDLE,16,8,8,88.9,BOOM
BANKVIEW,13,6,7,100.0,BOOM
RESIDUAL WARD 2 - SUB AREA 2E,7,0,7,700.0,BOOM
UNIVERSITY OF CALGARY,7,0,7,700.0,BOOM
UPPER MOUNT ROYAL,17,10,7,63.6,BOOM
AURORA BUSINESS PARK,6,0,6,600.0,BOOM
CFB - CURRIE,6,0,6,600.0,BOOM
DIAMOND COVE,6,0,6,600.0,BOOM
FAIRVIEW,12,6,6,85.7,BOOM
GREAT PLAINS EAST,6,0,6,600.0,BOOM
NOLAN HILL,24,18,6,31.6,STABLE
OAKRIDGE,12,6,6,85.7,BOOM
RESIDUAL WARD 1 - SUB AREA 01F,6,0,6,600.0,BOOM
RESIDUAL WARD 1 - SUB AREA 1K,6,0,6,600.0,BOOM
RESIDUAL WARD 2 - SUB AREA 2F,6,0,6,600.0,BOOM
SKYLINE WEST,6,0,6,600.0,BOOM
DEER RUN,11,6,5,71.4,BOOM
ELBOYA,11,6,5,71.4,BOOM
FALCONRIDGE,14,9,5,50.0,STABLE
KINCORA,12,7,5,62.5,BOOM
MACEWAN GLEN,11,6,5,71.4,BOOM
MERIDIAN,11,6,5,71.4,BOOM
QUEENSLAND,11,6,5,71.4,BOOM
SUNNYSIDE,11,6,5,71.4,BOOM
WESTGATE,13,8,5,55.6,BOOM
WOODLANDS,15,10,5,45.5,STABLE
ERIN WOODS,11,7,4,50.0,STABLE
HARVEST HILLS,11,7,4,50.0,STABLE
MANCHESTER,11,7,4,50.0,STABLE
ST. ANDREWS HEIGHTS,11,7,4,50.0,STABLE
STRATHCONA PARK,12,8,4,44.4,STABLE
SUNRIDGE,13,9,4,40.0,STABLE
CAMBRIAN HEIGHTS,10,7,3,37.5,STABLE
CEDARBRAE,11,8,3,33.3,STABLE
COUNTRY HILLS,10,7,3,37.5,STABLE
DOWNTOWN WEST END,10,7,3,37.5,STABLE
HIGHWOOD,10,7,3,37.5,STABLE
NORTH HAVEN,10,7,3,37.5,STABLE
SCENIC ACRES,12,9,3,30.0,STABLE
SKYLINE EAST,9,6,3,42.9,STABLE
SOUTHWOOD,19,16,3,17.6,STABLE
Undefined,11,8,3,33.3,STABLE
WHITEHORN,14,11,3,25.0,STABLE
WINDSOR PARK,11,8,3,33.3,STABLE
ABBEYDALE,9,7,2,25.0,STABLE
ALYTH/BONNYBROOK,9,7,2,25.0,STABLE
BURNS INDUSTRIAL,8,6,2,28.6,STABLE
CORAL SPRINGS,13,11,2,16.7,STABLE
FRANKLIN,11,9,2,20.0,STABLE
HORIZON,9,7,2,25.0,STABLE
LOWER MOUNT ROYAL,9,7,2,25.0,STABLE
PENBROOKE MEADOWS,13,11,2,16.7,STABLE
POINT MCKAY,8,6,2,28.6,STABLE
RESIDUAL WARD 12 - SUB AREA 12A,8,6,2,28.6,STABLE
RIDEAU PARK,8,6,2,28.6,STABLE
ROYAL VISTA,9,7,2,25.0,STABLE
SANDSTONE VALLEY,10,8,2,22.2,STABLE
SECTION 23,8,6,2,28.6,STABLE
SHAWNEE SLOPES,15,13,2,14.3,STABLE
SHAWNESSY,12,10,2,18.2,STABLE
SOMERSET,9,7,2,25.0,STABLE
SOUTHVIEW,11,9,2,20.0,STABLE
VALLEY RIDGE,9,7,2,25.0,STABLE
WESTWINDS,12,10,2,18.2,STABLE
BAYVIEW,7,6,1,14.3,STABLE
BRAESIDE,13,12,1,7.7,STABLE
CHINOOK PARK,7,6,1,14.3,STABLE
CHRISTIE PARK,7,6,1,14.3,STABLE
COUGAR RIDGE,10,9,1,10.0,STABLE
EAGLE RIDGE,7,6,1,14.3,STABLE
ERLTON,7,6,1,14.3,STABLE
GARRISON GREEN,7,6,1,14.3,STABLE
GARRISON WOODS,8,7,1,12.5,STABLE
GLENMORE PARK,7,6,1,14.3,STABLE
GREENVIEW,7,6,1,14.3,STABLE
GREENVIEW INDUSTRIAL PARK,10,9,1,10.0,STABLE
HAMPTONS,7,6,1,14.3,STABLE
HAWKWOOD,12,11,1,8.3,STABLE
HIGHLAND PARK,9,8,1,11.1,STABLE
MAPLE RIDGE,7,6,1,14.3,STABLE
MCCALL,7,6,1,14.3,STABLE
MILLRISE,9,8,1,11.1,STABLE
MISSION,9,8,1,11.1,STABLE
RED CARPET,8,7,1,12.5,STABLE
SADDLE RIDGE INDUSTRIAL,7,6,1,14.3,STABLE
SOUTH AIRWAYS,9,8,1,11.1,STABLE
SOUTH FOOTHILLS,7,6,1,14.3,STABLE
VISTA HEIGHTS,7,6,1,14.3,STABLE
APPLEWOOD PARK,6,6,0,0.0,STABLE
ASPEN WOODS,11,11,0,0.0,STABLE
BEL-AIRE,7,7,0,0.0,STABLE
BONAVISTA DOWNS,6,6,0,0.0,STABLE
CASTLERIDGE,9,9,0,0.0,STABLE
CHINATOWN,8,8,0,0.0,STABLE
COACH HILL,6,6,0,0.0,STABLE
COUNTRY HILLS VILLAGE,6,6,0,0.0,STABLE
CRESTMONT,9,9,0,0.0,STABLE
CURRIE BARRACKS,9,9,0,0.0,STABLE
DEER RIDGE,8,8,0,0.0,STABLE
DEERFOOT BUSINESS CENTRE,7,7,0,0.0,STABLE
EASTFIELD,6,6,0,0.0,STABLE
FOREST HEIGHTS,7,7,0,0.0,STABLE
KELVIN GROVE,7,7,0,0.0,STABLE
LINCOLN PARK,6,6,0,0.0,STABLE
MAYFAIR,6,6,0,0.0,STABLE
MAYLAND,7,7,0,0.0,STABLE
NORTH AIRWAYS,7,7,0,0.0,STABLE
NORTH HAVEN UPPER,6,6,0,0.0,STABLE
OGDEN SHOPS,6,6,0,0.0,STABLE
PALLISER,6,6,0,0.0,STABLE
PATTERSON,7,7,0,0.0,STABLE
PEGASUS,6,6,0,0.0,STABLE
PINERIDGE,8,8,0,0.0,STABLE
PUMP HILL,7,7,0,0.0,STABLE
RANCHLANDS,10,10,0,0.0,STABLE
ROSEDALE,8,8,0,0.0,STABLE
ROSEMONT,6,6,0,0.0,STABLE
ROXBORO,6,6,0,0.0,STABLE
SCARBORO,6,6,0,0.0,STABLE
SHEPARD INDUSTRIAL,8,8,0,0.0,STABLE
SILVER SPRINGS,16,16,0,0.0,STABLE
SOUTH CALGARY,15,15,0,0.0,STABLE
STONEY 1,6,6,0,0.0,STABLE
STONEY 2,7,7,0,0.0,STABLE
VALLEYFIELD,6,6,0,0.0,STABLE
BRITANNIA,6,7,-1,-12.5,STABLE
CANADA OLYMPIC PARK,7,8,-1,-11.1,STABLE
DISCOVERY RIDGE,8,9,-1,-10.0,STABLE
DOWNTOWN EAST VILLAGE,8,9,-1,-10.0,STABLE
EAST FAIRVIEW INDUSTRIAL,6,7,-1,-12.5,STABLE
FOREST LAWN,10,11,-1,-8.3,STABLE
GLAMORGAN,11,12,-1,-7.7,STABLE
GOLDEN TRIANGLE,6,7,-1,-12.5,STABLE
